name,version,license_expression,license_file_metadata,license_files_found,authors,repository,source
cookie_store,0.22.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Patrick Fernie <patrick.fernie@gmail.com>,https://github.com/pfernie/cookie_store,registry+https://github.com/rust-lang/crates.io-index
core-foundation,0.10.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Servo Project Developers,https://github.com/servo/core-foundation-rs,registry+https://github.com/rust-lang/crates.io-index
core-foundation,0.9.4,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Servo Project Developers,https://github.com/servo/core-foundation-rs,registry+https://github.com/rust-lang/crates.io-index
core-foundation-sys,0.8.7,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Servo Project Developers,https://github.com/servo/core-foundation-rs,registry+https://github.com/rust-lang/crates.io-index
core-graphics,0.25.0,MIT OR Apache-2.0,,COPYRIGHT;LICENSE-APACHE;LICENSE-MIT,The Servo Project Developers,https://github.com/servo/core-foundation-rs,registry+https://github.com/rust-lang/crates.io-index
core-graphics-types,0.2.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Servo Project Developers,https://github.com/servo/core-foundation-rs,registry+https://github.com/rust-lang/crates.io-index
core_detect,1.0.0,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Thom Chiovoloni <chiovolonit@gmail.com>,https://github.com/thomcc/core_detect,registry+https://github.com/rust-lang/crates.io-index
cpufeatures,0.2.17,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,RustCrypto Developers,https://github.com/RustCrypto/utils,registry+https://github.com/rust-lang/crates.io-index
crc32fast,1.5.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Sam Rijs <srijs@airpost.net>; Alex Crichton <alex@alexcrichton.com>,https://github.com/srijs/rust-crc32fast,registry+https://github.com/rust-lang/crates.io-index
crossbeam-channel,0.5.17,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT;LICENSE-THIRD-PARTY,,https://github.com/crossbeam-rs/crossbeam,registry+https://github.com/rust-lang/crates.io-index
crossbeam-deque,0.8.8,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/crossbeam-rs/crossbeam,registry+https://github.com/rust-lang/crates.io-index
crossbeam-epoch,0.9.21,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/crossbeam-rs/crossbeam,registry+https://github.com/rust-lang/crates.io-index
crossbeam-utils,0.8.23,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/crossbeam-rs/crossbeam,registry+https://github.com/rust-lang/crates.io-index
crypto-common,0.1.7,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,RustCrypto Developers,https://github.com/RustCrypto/traits,registry+https://github.com/rust-lang/crates.io-index
cssparser,0.36.0,MPL-2.0,,LICENSE,Simon Sapin <simon.sapin@exyr.org>,https://github.com/servo/rust-cssparser,registry+https://github.com/rust-lang/crates.io-index
cssparser-macros,0.6.1,MPL-2.0,,LICENSE,Simon Sapin <simon.sapin@exyr.org>,https://github.com/servo/rust-cssparser,registry+https://github.com/rust-lang/crates.io-index
ctor,0.8.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Matt Mastracci <matthew@mastracci.com>,https://github.com/mmastrac/rust-ctor,registry+https://github.com/rust-lang/crates.io-index
ctor-proc-macro,0.0.7,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Matt Mastracci <matthew@mastracci.com>,https://github.com/mmastrac/rust-ctor,registry+https://github.com/rust-lang/crates.io-index
daachorse,3.0.3,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Koichi Akabe <vbkaisetsu@gmail.com>; Shunsuke Kanda <shnsk.knd@gmail.com>,https://github.com/daac-tools/daachorse,registry+https://github.com/rust-lang/crates.io-index
darling,0.20.11,MIT,,LICENSE,Ted Driggs <ted.driggs@outlook.com>,https://github.com/TedDriggs/darling,registry+https://github.com/rust-lang/crates.io-index
darling,0.24.1,MIT,,LICENSE,Ted Driggs <ted.driggs@outlook.com>,https://github.com/TedDriggs/darling,registry+https://github.com/rust-lang/crates.io-index
darling_core,0.20.11,MIT,,LICENSE,Ted Driggs <ted.driggs@outlook.com>,https://github.com/TedDriggs/darling,registry+https://github.com/rust-lang/crates.io-index
darling_core,0.24.1,MIT,,LICENSE,Ted Driggs <ted.driggs@outlook.com>,https://github.com/TedDriggs/darling,registry+https://github.com/rust-lang/crates.io-index
darling_macro,0.20.11,MIT,,LICENSE,Ted Driggs <ted.driggs@outlook.com>,https://github.com/TedDriggs/darling,registry+https://github.com/rust-lang/crates.io-index
darling_macro,0.24.1,MIT,,LICENSE,Ted Driggs <ted.driggs@outlook.com>,https://github.com/TedDriggs/darling,registry+https://github.com/rust-lang/crates.io-index
dary_heap,0.3.9,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Han Mertens <hanmertens@outlook.com>,https://github.com/hanmertens/dary_heap,registry+https://github.com/rust-lang/crates.io-index
dbus,0.9.12,Apache-2.0/MIT,,LICENSE-APACHE;LICENSE-MIT,David Henningsson <diwic@ubuntu.com>,https://github.com/diwic/dbus-rs,registry+https://github.com/rust-lang/crates.io-index
defmt,1.1.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Knurling-rs developers,https://github.com/knurling-rs/defmt,registry+https://github.com/rust-lang/crates.io-index
defmt-macros,1.1.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Knurling-rs developers,https://github.com/knurling-rs/defmt,registry+https://github.com/rust-lang/crates.io-index
defmt-parser,1.0.0,MIT OR Apache-2.0,,,The Knurling-rs developers,https://github.com/knurling-rs/defmt,registry+https://github.com/rust-lang/crates.io-index
der,0.8.2,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,RustCrypto Developers,https://github.com/RustCrypto/formats,registry+https://github.com/rust-lang/crates.io-index
deranged,0.5.8,MIT OR Apache-2.0,,LICENSE-Apache;LICENSE-MIT,Jacob Pratt <jacob@jhpratt.dev>,https://github.com/jhpratt/deranged,registry+https://github.com/rust-lang/crates.io-index
derive_builder,0.20.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Colin Kiegel <kiegel@gmx.de>; Pascal Hertleif <killercup@gmail.com>; Jan-Erik Rediger <janerik@fnordig.de>; Ted Driggs <ted.driggs@outlook.com>,https://github.com/colin-kiegel/rust-derive-builder,registry+https://github.com/rust-lang/crates.io-index
derive_builder_core,0.20.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Colin Kiegel <kiegel@gmx.de>; Pascal Hertleif <killercup@gmail.com>; Jan-Erik Rediger <janerik@fnordig.de>; Ted Driggs <ted.driggs@outlook.com>,https://github.com/colin-kiegel/rust-derive-builder,registry+https://github.com/rust-lang/crates.io-index
derive_builder_macro,0.20.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Colin Kiegel <kiegel@gmx.de>; Pascal Hertleif <killercup@gmail.com>; Jan-Erik Rediger <janerik@fnordig.de>; Ted Driggs <ted.driggs@outlook.com>,https://github.com/colin-kiegel/rust-derive-builder,registry+https://github.com/rust-lang/crates.io-index
derive_more,2.1.1,MIT,,LICENSE,Jelte Fennema <github-tech@jeltef.nl>,https://github.com/JelteF/derive_more,registry+https://github.com/rust-lang/crates.io-index
derive_more-impl,2.1.1,MIT,,LICENSE,Jelte Fennema <github-tech@jeltef.nl>,https://github.com/JelteF/derive_more,registry+https://github.com/rust-lang/crates.io-index
digest,0.10.7,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,RustCrypto Developers,https://github.com/RustCrypto/traits,registry+https://github.com/rust-lang/crates.io-index
dirs,6.0.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Simon Ochsenreither <simon@ochsenreither.de>,https://github.com/soc/dirs-rs,registry+https://github.com/rust-lang/crates.io-index
dirs-sys,0.5.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Simon Ochsenreither <simon@ochsenreither.de>,https://github.com/dirs-dev/dirs-sys-rs,registry+https://github.com/rust-lang/crates.io-index
dispatch2,0.3.1,Zlib OR Apache-2.0 OR MIT,,,Mads Marquart <mads@marquart.dk>; Mary <mary@mary.zone>,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
displaydoc,0.2.7,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Jane Lusby <jlusby@yaah.dev>,https://github.com/yaahc/displaydoc,registry+https://github.com/rust-lang/crates.io-index
dlopen2,0.8.2,MIT,,,Szymon Wieloch <szymon.wieloch@gmail.com>; Ahmed Masud <ahmed.masud@saf.ai>; OpenByte <development.openbyte@gmail.com>,https://github.com/OpenByteDev/dlopen2,registry+https://github.com/rust-lang/crates.io-index
dlopen2_derive,0.4.3,MIT,,,Szymon Wieloch <szymon.wieloch@gmail.com>; OpenByte <development.openbyte@gmail.com>,https://github.com/OpenByteDev/dlopen2,registry+https://github.com/rust-lang/crates.io-index
document-features,0.2.12,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Slint Developers <info@slint.dev>,https://github.com/slint-ui/document-features,registry+https://github.com/rust-lang/crates.io-index
dom_query,0.27.0,MIT,,LICENSE,niklak <morgenpurple@gmail.com>; importcjj <importcjj@gmail.com>,https://github.com/niklak/dom_query,registry+https://github.com/rust-lang/crates.io-index
dpi,0.1.2,Apache-2.0 AND MIT,,LICENSE;LICENSE-LIBM-MIT,,https://github.com/rust-windowing/winit,registry+https://github.com/rust-lang/crates.io-index
dtoa,1.0.11,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/dtoa,registry+https://github.com/rust-lang/crates.io-index
dtoa-short,0.3.5,MPL-2.0,,LICENSE,Xidorn Quan <me@upsuper.org>,https://github.com/upsuper/dtoa-short,registry+https://github.com/rust-lang/crates.io-index
dtor,0.3.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Matt Mastracci <matthew@mastracci.com>,https://github.com/mmastrac/rust-ctor,registry+https://github.com/rust-lang/crates.io-index
dtor-proc-macro,0.0.6,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Matt Mastracci <matthew@mastracci.com>,https://github.com/mmastrac/rust-ctor,registry+https://github.com/rust-lang/crates.io-index
dunce,1.0.5,CC0-1.0 OR MIT-0 OR Apache-2.0,,LICENSE,Kornel <kornel@geekhood.net>,https://gitlab.com/kornelski/dunce,registry+https://github.com/rust-lang/crates.io-index
dyn-clone,1.0.20,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/dyn-clone,registry+https://github.com/rust-lang/crates.io-index
either,1.18.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rayon-rs/either,registry+https://github.com/rust-lang/crates.io-index
embed-resource,3.0.11,MIT,,LICENSE,наб <nabijaczleweli@nabijaczleweli.xyz>; Cat Plus Plus <piotrlegnica@piotrl.pl>; Liigo <liigo@qq.com>; azyobuzin <azyobuzin@users.sourceforge.jp>; Peter Atashian <retep998@gmail.com>; pravic <ehysta@gmail.com>; Gabriel Majeri <gabriel.majeri6@gmail.com>; SonnyX; Johan Andersson <repi@repi.se>; Jordan Poles <jpdev.noreply@gmail.com>; MSxDOS <melcodos@gmail.com>; Jim McGrath <jimmc2@gmail.com>; roblabla <unfiltered@roblab.la>; Jasper Bekkers <jasper@traverseresearch.nl>; Richard Markiewicz <rmarkiewicz@devolutions.net>; Emerson de Freitas Barcelos <emersonfxbx@gmail.com>; Li Keqing <me@kaze.ai>; Alexis Bourget <alexis.bourget@gmail.com>; Michael Farrell <micolous+git@gmail.com>; Jacob Okamoto <oko@oko.io>; Marijn Suijten <marijn@traverseresearch.nl>; Lucas Nogueira <lucas@tauri.app>; CharlesChen0823 <yongchen0823@gmail.com>; Daniel Schaefer <dhs@frame.work>; Rene Leonhardt; ssrlive; Kan-Ru Chen <kanru@kanru.info>; Tony <legendmastertony@gmail.com>; Berrysoft <Strawberry_Str@hotmail.com>; Marcus Ahlberg <marcus.ahlberg@kvaser.com>,https://github.com/nabijaczleweli/rust-embed-resource,registry+https://github.com/rust-lang/crates.io-index
embed_plist,1.2.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Nikolai Vazquez <hello@nikolaivazquez.com>,https://github.com/nvzqz/embed-plist-rs,registry+https://github.com/rust-lang/crates.io-index
encode_unicode,1.0.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Torbjørn Birch Moltu <t.b.moltu@lyse.net>,https://github.com/tormol/encode_unicode,registry+https://github.com/rust-lang/crates.io-index
encoding_rs,0.8.41,(Apache-2.0 OR MIT) AND BSD-3-Clause,,COPYRIGHT;LICENSE-APACHE;LICENSE-MIT;LICENSE-WHATWG,Henri Sivonen <hsivonen@hsivonen.fi>,https://github.com/hsivonen/encoding_rs,registry+https://github.com/rust-lang/crates.io-index
endi,1.1.1,MIT,,LICENSE-MIT,Zeeshan Ali Khan <zeenix@gmail.com>,https://github.com/zeenix/endi,registry+https://github.com/rust-lang/crates.io-index
enumflags2,0.7.12,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,maik klein <maikklein@googlemail.com>; Maja Kądziołka <maya@compilercrim.es>,https://github.com/meithecatte/enumflags2,registry+https://github.com/rust-lang/crates.io-index
enumflags2_derive,0.7.12,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,maik klein <maikklein@googlemail.com>; Maja Kądziołka <maya@compilercrim.es>,https://github.com/meithecatte/enumflags2,registry+https://github.com/rust-lang/crates.io-index
equivalent,1.0.2,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/indexmap-rs/equivalent,registry+https://github.com/rust-lang/crates.io-index
erased-serde,0.4.10,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/erased-serde,registry+https://github.com/rust-lang/crates.io-index
errno,0.3.14,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Chris Wong <lambda.fairy@gmail.com>; Dan Gohman <dev@sunfishcode.online>,https://github.com/lambda-fairy/rust-errno,registry+https://github.com/rust-lang/crates.io-index
esaxx-rs,0.1.10,Apache-2.0,,LICENSE,Nicolas Patry <patry.nicolas@protonmail.com>,https://github.com/Narsil/esaxx-rs,registry+https://github.com/rust-lang/crates.io-index
event-listener,5.4.2,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Stjepan Glavina <stjepang@gmail.com>; John Nunley <dev@notgull.net>,https://github.com/smol-rs/event-listener,registry+https://github.com/rust-lang/crates.io-index
event-listener-strategy,0.5.4,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,John Nunley <dev@notgull.net>,https://github.com/smol-rs/event-listener-strategy,registry+https://github.com/rust-lang/crates.io-index
